seed,policy,regime,n_mechanisms,n_orientations,n_interventions,base_noise,perturbation_scale,lambda_stability,gamma_cost,ig_mode,budget,success_95,correct_argmax,n95,c95,total_cost,penalized_c95,posterior_true,score_evals,orientation_switches,runtime_s,true_h,condition
6005,generic_oed,standard,12,8,10,1.0,0.0,0.0,0.0,quadrature,35,1,1,6,4.845101141284012,4.845101141284012,4.845101141284012,0.9663898177826173,480,1,0.2155864350002048,11,standard_clean
6005,full_oarl,standard,12,8,10,1.0,0.0,0.0,0.0,quadrature,35,1,1,6,4.845101141284012,4.845101141284012,4.845101141284012,0.9663898177826173,480,1,0.21722163899994484,11,standard_clean
6006,generic_oed,standard,12,8,10,1.0,0.0,0.0,0.0,quadrature,35,1,1,18,20.886391357097633,20.886391357097633,20.886391357097633,0.9648697695290825,1440,6,0.6408714489998601,11,standard_clean
6006,full_oarl,standard,12,8,10,1.0,0.0,0.0,0.0,quadrature,35,1,1,18,20.886391357097633,20.886391357097633,20.886391357097633,0.9648697695290825,1440,6,0.6442040490001091,11,standard_clean
6007,generic_oed,standard,12,8,10,1.0,0.0,0.0,0.0,quadrature,35,1,1,10,25.87028696562545,25.87028696562545,25.87028696562545,0.9840592139114913,800,7,0.35957172299958984,6,standard_clean
6007,full_oarl,standard,12,8,10,1.0,0.0,0.0,0.0,quadrature,35,1,1,10,25.87028696562545,25.87028696562545,25.87028696562545,0.9840592139114913,800,7,0.35828300399998625,6,standard_clean
6008,generic_oed,standard,12,8,10,1.0,0.0,0.0,0.0,quadrature,35,1,1,2,1.431065030395579,1.431065030395579,1.431065030395579,0.9937050371962515,160,0,0.07308480100027737,11,standard_clean
6008,full_oarl,standard,12,8,10,1.0,0.0,0.0,0.0,quadrature,35,1,1,2,1.431065030395579,1.431065030395579,1.431065030395579,0.9937050371962515,160,0,0.07262509500014858,11,standard_clean
6009,generic_oed,standard,12,8,10,1.0,0.0,0.0,0.0,quadrature,35,1,1,16,16.470759413852186,16.470759413852186,16.470759413852186,0.9636594551347398,1280,9,0.5785023460002776,0,standard_clean
6009,full_oarl,standard,12,8,10,1.0,0.0,0.0,0.0,quadrature,35,1,1,16,16.470759413852186,16.470759413852186,16.470759413852186,0.9636594551347398,1280,9,0.5799133140003505,0,standard_clean
6010,generic_oed,standard,12,8,10,1.0,0.0,0.0,0.0,quadrature,35,1,1,7,14.616618462149162,14.616618462149162,14.616618462149162,0.9819642946339385,560,3,0.2542048850000356,7,standard_clean
6010,full_oarl,standard,12,8,10,1.0,0.0,0.0,0.0,quadrature,35,1,1,7,14.616618462149162,14.616618462149162,14.616618462149162,0.9819642946339385,560,3,0.2564195180002571,7,standard_clean
6011,generic_oed,standard,12,8,10,1.0,0.0,0.0,0.0,quadrature,35,1,1,7,30.454757325609584,30.454757325609584,30.454757325609584,0.9796786560297308,560,3,0.2502197989997512,6,standard_clean
6011,full_oarl,standard,12,8,10,1.0,0.0,0.0,0.0,quadrature,35,1,1,7,30.454757325609584,30.454757325609584,30.454757325609584,0.9796786560297308,560,3,0.24873500200010312,6,standard_clean
6012,generic_oed,standard,12,8,10,1.0,0.0,0.0,0.0,quadrature,35,1,1,10,11.421592815203304,11.421592815203304,11.421592815203304,0.998428546618439,800,5,0.36998691000007966,6,standard_clean
6012,full_oarl,standard,12,8,10,1.0,0.0,0.0,0.0,quadrature,35,1,1,10,11.421592815203304,11.421592815203304,11.421592815203304,0.998428546618439,800,5,0.373470788999839,6,standard_clean
6013,generic_oed,standard,12,8,10,1.0,0.0,0.0,0.0,quadrature,35,1,1,4,4.114772417817507,4.114772417817507,4.114772417817507,0.9910026330744437,320,2,0.14460813699997743,5,standard_clean
